8 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 10, mines = 5, solved = true
3541 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 10, mines = 5, solved = true
1 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 10, mines = 5, solved = true
0 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 10, mines = 5, solved = true
0 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 10, mines = 5, solved = true
1 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 20, mines = 10, solved = true
0 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 20, mines = 10, solved = true
1 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 20, mines = 10, solved = true
0 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 20, mines = 10, solved = true
0 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 20, mines = 10, solved = true
0 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 30, mines = 15, solved = true
1 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 30, mines = 15, solved = true
1 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 30, mines = 15, solved = true
0 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 30, mines = 15, solved = true
0 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 30, mines = 15, solved = true
1 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 40, mines = 20, solved = true
0 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 40, mines = 20, solved = true
1 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 40, mines = 20, solved = true
1 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 40, mines = 20, solved = true
1 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 40, mines = 20, solved = true
1 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 50, mines = 25, solved = true
0 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 50, mines = 25, solved = true
0 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 50, mines = 25, solved = true
0 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 50, mines = 25, solved = true
1 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 50, mines = 25, solved = true
1 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 60, mines = 30, solved = true
1 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 60, mines = 30, solved = true
1 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 60, mines = 30, solved = true
1 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 60, mines = 30, solved = true
0 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 60, mines = 30, solved = true
0 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 70, mines = 35, solved = true
5 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 70, mines = 35, solved = true
2 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 70, mines = 35, solved = true
1 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 70, mines = 35, solved = true
1 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 70, mines = 35, solved = true
4 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 80, mines = 40, solved = true
5 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 80, mines = 40, solved = true
311638 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 80, mines = 40, solved = true
2 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 80, mines = 40, solved = true
1 ms, AutomatonSolveMineMoveGenerator,  x = 10, y = 80, mines = 40, solved = true
