1235 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.0, 0.0], solved = true
322 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.0, 0.0], solved = true
158 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.0, 0.0], solved = true
1293 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.0, 0.0], solved = true
561 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.0, 0.0], solved = true
1042 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.0, 0.0], solved = true
131 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.0, 0.0], solved = true
148 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.0, 0.0], solved = true
236 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.0, 0.0], solved = true
1354 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.0, 0.0], solved = true
269 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.0, 0.0], solved = true
1021 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.0, 0.0], solved = true
1735 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.0, 0.0], solved = true
13 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.0, 0.0], solved = true
1502 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.0, 0.0], solved = true
1466 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.0, 0.0], solved = true
2404 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.0, 0.0], solved = true
535 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.0, 0.0], solved = true
717 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.0, 0.0], solved = true
299 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.0, 0.0], solved = true
3574 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.0, 0.0], solved = true
135 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.0, 0.0], solved = true
995 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.0, 0.0], solved = true
708 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.0, 0.0], solved = true
321 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.0, 0.0], solved = true
2301 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.25, 0.25], solved = true
66 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.25, 0.25], solved = true
894 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.25, 0.25], solved = true
627 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.25, 0.25], solved = true
215 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.25, 0.25], solved = true
13 ms, generators.CSPSolveSafeMoveGenerator, x = 10, y = 10, mines = 40, startloc [0.25, 0.25], solved = true
