14 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 10, mines = 5, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 10, mines = 5, solved = true
1 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 10, mines = 5, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 10, mines = 5, solved = true
1 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 10, mines = 5, solved = true
1 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 10, mines = 5, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 10, mines = 5, solved = true
1 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 10, mines = 5, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 10, mines = 5, solved = true
1 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 10, mines = 5, solved = true
1 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 10, mines = 5, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 10, mines = 5, solved = true
1 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 10, mines = 5, solved = true
2 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 10, mines = 5, solved = true
1 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 10, mines = 5, solved = true
1 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 10, mines = 5, solved = true
1 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 10, mines = 5, solved = true
0 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 10, mines = 5, solved = true
1 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 10, mines = 5, solved = true
1 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 10, mines = 5, solved = true
1 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 10, mines = 5, solved = true
0 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 10, mines = 5, solved = true
3 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 10, mines = 5, solved = true
1 ms, generators.CSPSubsetSolveMineMoveGenerator, size = 10, mines = 5, solved = true
