618 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 10, mines = 25, solved = true
474 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 10, mines = 25, solved = true
409 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 10, mines = 25, solved = true
121 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 10, mines = 25, solved = true
22 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 10, mines = 25, solved = true
22 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 10, mines = 25, solved = true
104 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 10, mines = 25, solved = true
24 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 10, mines = 25, solved = true
324 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 10, mines = 25, solved = true
230 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 10, mines = 25, solved = true
121 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 15, mines = 37, solved = true
192 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 15, mines = 37, solved = true
14 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 15, mines = 37, solved = true
5 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 15, mines = 37, solved = true
22 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 15, mines = 37, solved = true
1083 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 15, mines = 37, solved = true
174 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 15, mines = 37, solved = true
3 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 15, mines = 37, solved = true
0 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 15, mines = 37, solved = true
1338 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 15, mines = 37, solved = true
5 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 20, mines = 50, solved = true
1 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 20, mines = 50, solved = true
131 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 20, mines = 50, solved = true
4 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 20, mines = 50, solved = true
292 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 20, mines = 50, solved = true
176 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 20, mines = 50, solved = true
9 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 20, mines = 50, solved = true
8963 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 20, mines = 50, solved = true
61 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 20, mines = 50, solved = true
13 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 20, mines = 50, solved = true
2227 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 25, mines = 62, solved = true
7604 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 25, mines = 62, solved = true
330 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 25, mines = 62, solved = true
193 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 25, mines = 62, solved = true
491 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 25, mines = 62, solved = true
289 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 25, mines = 62, solved = true
52 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 25, mines = 62, solved = true
152 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 25, mines = 62, solved = true
23 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 25, mines = 62, solved = true
17210 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 25, mines = 62, solved = true
869 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 30, mines = 75, solved = true
2541 ms, generators.CSPSubsetSolveMineMoveGenerator,  x = 10, y = 30, mines = 75, solved = true
